year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1903,14.23258335422724,1.601166666666667,69.56666666666666,12018.28331756592,626.23364,29.354723,153.04666,153.04666,779.28027,253137.3001124808,901423.4912860976
1904,12.25341657549143,2.569083333333333,101.87,10906.61664581299,539.15033,47.099861,224.114,224.114,763.26434,254928.43505294513,902859.1159464283
1905,12.60508331656456,3.067916666666667,82.07000000000001,10951.78330993652,554.62366,56.24514,180.554,180.554,735.17767,256582.50063191375,904431.0933699256
1906,13.85341669339687,3.097083333333333,43.76,11322.78331756592,609.55035,56.779861,96.272003,96.272003,705.82239,258296.24821472922,905962.786334766
1907,10.54829169996083,2.403333333333333,88.23333333333333,8823.783317565918,464.12485,44.061111,194.11333,194.11333,658.23816,260138.32026385982,907387.0109652667
1908,13.63750004768372,1.840416666666667,45.36666666666667,9280.783309936523,600.04999,33.740971,99.806664,99.806664,699.85663,261795.58185946385,909047.255155336
1909,14.46300002932549,1.115,43.28333333333334,6838.949989318848,636.37201,20.441668,95.223335,95.223335,731.59534,263597.89936062385,910460.2329890435
1910,18.32787512242794,0.5399999999999999,21.21666666666667,7125.616645812988,806.42651,9.8999996,46.676666,46.676666,853.10315,265389.9284284078,911798.408397365
1911,18.03766661882401,0.8316666666666666,95.96666666666667,7248.866645812988,793.65735,15.247222,211.12666,211.12666,1004.784,267246.4332552095,912833.7141153266
1912,17.28358327969909,0.9016666666666666,19.16666666666667,6527.866645812988,760.47766,16.530556,42.166668,42.166668,802.64435,268801.977788155,913881.4740654954
1913,16.55075001716614,0.49,8.25,5767.366645812988,728.23297,8.9833336,18.15,18.15,746.383,270629.46697004704,914976.4438023225
1914,13.37970834970474,0.09,7.75,4741.366645812988,588.70715,1.65,17.049999,17.049999,605.75714,272477.5799578137,916116.5590489409
1915,10.28133338689804,0.06,0.0,3534.199989318848,452.37866,1.1,0.0,1.1,453.47867,274306.34794915206,917484.8192609464
1916,8.32133337855339,0.6100000000000001,0.0,3365.699989318848,366.13867,11.183333,0.0,11.183333,377.32199,276140.84014421294,919073.6141315653
1917,3.354999985545874,0.55,0.0,2861.199989318848,147.62,10.083333,0.0,10.083333,157.70332,277935.9244630447,920795.1910755326
1918,5.23083321750164,0.0,0.0,2853.89998626709,230.15666,0.0,0.0,0.0,230.15666,279710.66821083263,922874.4310901093
1919,4.759166583418846,0.185,0.0,2930.699989318848,209.40334,3.3916667,0.0,3.3916667,212.795,281480.1656906383,924793.0826083879
1920,5.59224995970726,0.44,0.0,3573.999992370605,246.05901,8.0666666,0.0,8.0666666,254.12567,283220.92606618657,926729.155153585
1921,5.517499938607216,0.0,0.0,3140.199989318848,242.77,0.0,0.0,0.0,242.77,284930.6242424845,928584.199805743
1922,3.180000022053719,0.109,0.0,2003.999992370605,139.92,1.9983333,0.0,1.9983333,141.91833,286630.9731871244,930427.1808778343
1923,1.349999994039536,0.0,0.0,1500.499992370605,59.400002,0.0,0.0,0.0,59.400002,288304.4085736432,932428.3570388668
1924,0.1500000059604645,0.0,0.0,2378.666664123535,6.6000004,0.0,0.0,0.0,6.6000004,289957.6683819699,934547.9071830006
1925,0.300000011920929,0.0,0.0,961.3333282470703,13.200001,0.0,0.0,0.0,13.200001,291587.16271475714,936737.1519598489
1926,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,293192.78751502116,938893.6936148201
1927,0.0,0.0,0.0,700.3333282470703,0.0,0.0,0.0,0.0,0.0,294774.4586799286,941051.5642936376
1928,,,,,0.0,,,0.0,0.0,296332.1116712044,943188.0339446382
1929,,,,,0.0,,,0.0,0.0,297865.7010983211,945303.1718320891
1930,,,,,0.0,,,0.0,0.0,299375.20027656434,947397.0506700198
1931,,,,,0.0,,,0.0,0.0,300860.6007620785,949469.7465340715
1932,,,,,0.0,,,0.0,0.0,302321.9118660009,951521.33877334
1933,,,,,0.0,,,0.0,0.0,303759.1601497822,953551.9099222831
1934,,,,,0.0,,,0.0,0.0,305172.38890377263,955561.5456127578
1935,,,,,0.0,,,0.0,0.0,306561.6576111283,957550.3344862524
1936,,,,,0.0,,,0.0,0.0,307927.04139905336,959518.3681063784
1937,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,309268.6304793525,961465.7408716809
